Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
DoVit_Maestro,BB_L9_FFN2,256,6422529,2.32557e+06,128,55040.4,3.85362e+10,302939,160,32.6505,160,1,160,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L10_Attn_Q_Proj,256,1605633,1.59507e+06,128,80247,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,1.28847e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L10_Attn_K_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L10_Attn_V_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L10_Attn_Out_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L10_FFN1,256,6422529,1.30906e+06,128,97779.9,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L10_FFN2,256,6422529,2.32557e+06,128,55040.4,3.85362e+10,302939,160,32.6505,160,1,160,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L11_Attn_Q_Proj,256,1605633,1.59507e+06,128,80247,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,1.28847e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L11_Attn_K_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L11_Attn_V_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L11_Attn_Out_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L11_FFN1,256,6422529,1.30906e+06,128,97779.9,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L11_FFN2,256,6422529,2.32557e+06,128,55040.4,3.85362e+10,302939,160,32.6505,160,1,160,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,AuxHead2_ConvSeg,256,50177,1.36004e+06,119.998,88231.2,3.85362e+10,302939,160,32.6033,160,1,160,648,6,1,1,200704,30720,4.42718e+09,6021120,312.909,5.2992,2.2356,302619,6021120, 1605184, 1605184, 200704, 3.75105, 6021120, 30720, 30720, 30720, 196, 6021120, 6021120, 5880, 94080, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 240, 4
DoVit_Maestro,BB_L12_Attn_Q_Proj,256,1605633,253372,128,505186,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,8.11143e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L12_Attn_K_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L12_Attn_V_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L12_Attn_Out_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L12_FFN1,256,6422529,1.30906e+06,128,97779.9,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L12_FFN2,256,6422529,2.32557e+06,128,55040.4,3.85362e+10,302939,160,32.6505,160,1,160,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L13_Attn_Q_Proj,256,1605633,1.59507e+06,128,80247,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,1.28847e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L13_Attn_K_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L13_Attn_V_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L13_Attn_Out_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L13_FFN1,256,6422529,1.30906e+06,128,97779.9,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L13_FFN2,256,6422529,2.32557e+06,128,55040.4,3.85362e+10,302939,160,32.6505,160,1,160,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L14_Attn_Q_Proj,256,1605633,1.59507e+06,128,80247,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,1.28847e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L14_Attn_K_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L14_Attn_V_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L14_Attn_Out_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L14_FFN1,256,6422529,1.30906e+06,128,97779.9,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L14_FFN2,256,6422529,2.32557e+06,128,55040.4,3.85362e+10,302939,160,32.6505,160,1,160,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L15_Attn_Q_Proj,256,1605633,1.59507e+06,128,80247,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,1.28847e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L15_Attn_K_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L15_Attn_V_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L15_Attn_Out_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L15_FFN1,256,6422529,1.30906e+06,128,97779.9,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L15_FFN2,256,6422529,2.32557e+06,128,55040.4,3.85362e+10,302939,160,32.6505,160,1,160,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L16_Attn_Q_Proj,256,1605633,1.59507e+06,128,80247,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,1.28847e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L16_Attn_K_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L16_Attn_V_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L16_Attn_Out_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L16_FFN1,256,6422529,1.30906e+06,128,97779.9,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L16_FFN2,256,6422529,2.32557e+06,128,55040.4,3.85362e+10,302939,160,32.6505,160,1,160,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L17_Attn_Q_Proj,256,1605633,1.59507e+06,128,80247,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,1.28847e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L17_Attn_K_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L17_Attn_V_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L17_Attn_Out_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L17_FFN1,256,6422529,1.30906e+06,128,97779.9,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L17_FFN2,256,6422529,2.32557e+06,128,55040.4,3.85362e+10,302939,160,32.6505,160,1,160,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,AuxHead3_ConvSeg,256,50177,1.36004e+06,119.998,88231.2,3.85362e+10,302939,160,32.6033,160,1,160,648,6,1,1,200704,30720,4.42718e+09,6021120,312.909,5.2992,2.2356,302619,6021120, 1605184, 1605184, 200704, 3.75105, 6021120, 30720, 30720, 30720, 196, 6021120, 6021120, 5880, 94080, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 240, 4
DoVit_Maestro,BB_L18_Attn_Q_Proj,256,1605633,253372,128,505186,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,8.11143e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L18_Attn_K_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L18_Attn_V_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L18_Attn_Out_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L18_FFN1,256,6422529,1.30906e+06,128,97779.9,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L18_FFN2,256,6422529,2.32557e+06,128,55040.4,3.85362e+10,302939,160,32.6505,160,1,160,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L19_Attn_Q_Proj,256,1605633,1.59507e+06,128,80247,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,1.28847e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L19_Attn_K_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L19_Attn_V_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L19_Attn_Out_Proj,256,1605633,581339,128,220181,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,1048576,3.5353e+11,205520896,312.909,5.2992,2.2356,302619,205520896, 51363904, 51363904, 200704, 4.00127, 205520896, 1048576, 1048576, 1048576, 196, 205520896, 205520896, 200704, 3211264, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L19_FFN1,256,6422529,1.30906e+06,128,97779.9,3.85362e+10,302939,160,32.6429,160,1,160,648,6,1,1,200704,4194304,6.27995e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205455424, 205455424, 200704, 4.00127, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 802816, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
DoVit_Maestro,BB_L19_FFN2,256,6422529,2.32557e+06,128,55040.4,3.85362e+10,302939,160,32.6505,160,1,160,648,6,1,1,802816,4194304,3.53498e+11,822083584,312.909,5.2992,2.2356,302619,822083584, 205504576, 205504576, 802816, 4.00032, 822083584, 4194304, 4194304, 4194304, 196, 822083584, 822083584, 200704, 12845056, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
